ISIN;null
Начальная дата;21.10.2023
Конечная дата;06.11.2023

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
RU000A1025U5;Сбербанк ПАО 001Р-SBER17;40000;29.10.2023;1000;RUB;1000;5,7;28,42;28,42
XS2069992258;MMC Finance DAC 28/10/24;750;28.10.2023;1000;USD;1000;3,375;16,88;1573,51
XS0191754729;GAZ CAPITAL SA 8.625 28/04/34;1200;28.10.2023;1000;USD;1000;8,625;43,125;4020
RU000A106YN4;Группа Продовольствие 001P-03;300;28.10.2023;1000;RUB;1000;16;13,15;13,15
RU000A106SL0;ИСТРИНСКАЯ СЫРОВАРНЯ БО-02;100;28.10.2023;1000;RUB;1000;14,5;11,92;11,92
RU000A106SK2;ФПК Гарант-Инвест БО 002Р-07;4000;28.10.2023;1000;RUB;1000;14,5;11,92;11,92
RU000A106FM5;ДОМ.РФ Ипотечный агент БО 1P34;17391,177;28.10.2023;1000;RUB;964,86;12,9;10,32;10,32
RU000A106B51;МФК Быстроденьги 002Р-02;300;28.10.2023;1000;RUB;1000;16;13,15;13,15
RU000A1065R7;ДОМ.РФ Ипотечный агент БО 1P33;16515,643;28.10.2023;1000;RUB;892,74;8,6;6,44;6,44
RU000A105SK4;ЛК Роделен БО 001Р-04;250;28.10.2023;1000;RUB;1000;14;11,51;11,51
RU000A105NZ3;ДОМ.РФ Ипотечный агент БО 1P32;6128,78;28.10.2023;1000;RUB;886,72;12,7;9,35;9,35
RU000A105NP4;ДОМ.РФ Ипотечный агент БО 1P30;4465,49;28.10.2023;1000;RUB;829,88;9,46;20,77;20,77
RU000A105NN9;ДОМ.РФ Ипотечный агент БО 1P29;54789,504;28.10.2023;1000;RUB;854,83;13,7;9,77;9,77
RU000A105LN3;ДОМ.РФ Ипотечный агент БО 1P27;20597,323;28.10.2023;1000;RUB;834,34;7,4;5,16;5,16
RU000A105JF3;ДОМ.РФ Ипотечный агент БО 1P26;5477,816;28.10.2023;1000;RUB;898,98;12,47;9,31;9,31
RU000A105H23;ДОМ.РФ Ипотечный агент БО 1P25;5527,918;28.10.2023;1000;RUB;761,46;9,35;5,97;5,97
RU000A105A95;Газпром капитал ООО ЗО34-1-Д;748,626;28.10.2023;1000;USD;1000;8,625;43,13;4020,47
RU000A1058R2;ДОМ.РФ Ипотечный агент БО 1P22;6638,733;28.10.2023;1000;RUB;859,19;12,6;9,02;9,02
RU000A105898;ДОМ.РФ Ипотечный агент БО 1P21;2317,051;28.10.2023;1000;RUB;802,31;8,2;17,57;17,57
RU000A104XE0;Лизинг-Трейд 001P-04;100;28.10.2023;1000;RUB;1000;15;12,33;12,33
RU000A104X32;ДОМ.РФ Ипотечный агент БО 1P19;6704,238;28.10.2023;1000;RUB;824,91;12,65;8,67;8,67
RU000A104UV0;ДОМ.РФ Ипотечный агент БО 1P18;6183,696;28.10.2023;1000;RUB;813,2;12,4;8,4;8,4
RU000A104B79;ДОМ.РФ Ипотечный агент БО 1P16;207605,03;28.10.2023;1000;RUB;693,63;7,65;4,44;4,44
RU000A104AM1;ДОМ.РФ Ипотечный агент БО 1P17;31410,336;28.10.2023;1000;RUB;706,61;6,8;4,03;4,03
RU000A1041Q0;ДОМ.РФ Ипотечный агент БО 1P13;5353,129;28.10.2023;1000;RUB;701,57;12,65;7,41;7,41
RU000A103YG5;ДОМ.РФ Ипотечный агент БО 1P11;48293,483;28.10.2023;1000;RUB;704,59;6,8;12,69;12,69
RU000A103W42;ДОМ.РФ Ипотечный агент БО 1P10;3087,641;28.10.2023;1000;RUB;703,38;7;13,02;13,02
RU000A1031K4;ДОМ.РФ Ипотечный агент БО 1P8;4742,319;28.10.2023;1000;RUB;565,24;6,95;10,38;10,38
RU000A102ME7;ИА Титан-3 03;228,923;28.10.2023;1000;RUB;1000;;51,53;51,53
RU000A102MC1;ИА Титан-3 02;323,614;28.10.2023;1000;RUB;1000;;40,25;40,25
RU000A102MB3;ИА Титан-3 01;2275;28.10.2023;1000;RUB;214,19;7,45;4,81;4,81
RU000A102GV3;ДОМ.РФ Ипотечный агент БО 1P1;5825,188;28.10.2023;1000;RUB;493,52;6,05;7,91;7,91
RU000A102861;ПАО ОТКРЫТИЕ ФК Банк БО-ИО-П02;79,047;28.10.2023;1000;RUB;1000;0,01;0,1;0,1
RU000A101X01;ДОМ.РФ Ипотечный агент 16-002P;1035,6;28.10.2023;1000;RUB;401,96;7,864;8,52;8,52
RU000A101JD7;ДОМ.РФ Ипотечный агент 05-001P;7207,044;28.10.2023;1000;RUB;334,55;6,5;5,82;5,82
RU000A1016B4;ДОМ.РФ Ипотечный агент 12-002P;24085,632;28.10.2023;1000;RUB;341,85;8,909;8,19;8,19
RU000A100ZB9;ДОМ.РФ Ипотечный агент 10-002P;95652,798;28.10.2023;1000;RUB;275,97;9,316;2,16;2,16
RU000A100YY4;ДОМ.РФ Ипотечный агент 11-002P;4923,727;28.10.2023;1000;RUB;301,23;7,1;5,69;5,69
RU000A1007Q1;АВАНГАРД АКБ ПАО БО-001P-02;3000;28.10.2023;1000;RUB;1000;0,01;0,01;0,01
RU000A0ZZCH9;ДОМ.РФ Ипотечный агент 05-002P;6187,764;28.10.2023;1000;RUB;198,08;8;4,27;4,27
RU000A0ZYLX0;ДОМ РФ ИА 03;1957,905;28.10.2023;1000;RUB;98,24;10,286;2,76;2,76
RU000A0ZYL89;ДОМ РФ ИА 04;7557,011;28.10.2023;1000;RUB;72,55;10,327;2,03;2,03
RU000A0ZYJT2;ДОМ РФ ИА 002P;48197,806;28.10.2023;1000;RUB;74,51;11,5;2,35;2,35
XS2393505008;MMC Finance DAC 2.8 27/10/26;500;27.10.2023;1000;USD;1000;2,8;14;1309,86
RU000A106SE5;Фордевинд 04;300;27.10.2023;1000;RUB;1000;17;13,97;13,97
RU000A106M25;Банк ВТБ (ПАО) Б-1-320;7735,01;27.10.2023;1000;RUB;1000;9,05;7,44;7,44
RU000A106AU9;Ультра БО-01;250;27.10.2023;1000;RUB;1000;16;13,15;13,15
RU000A106AK0;СОБИ-ЛИЗИНГ 001Р-02;200;27.10.2023;1000;RUB;940;14,3;11,4;11,4
RU000A1066A1;Уральская Сталь БО-001Р-02;10000;27.10.2023;1000;RUB;1000;10,6;26,43;26,43
RU000A105JN7;Глобал Факторинг БО-01-001P;100;27.10.2023;1000;RUB;1000;20;16,44;16,44
RU000A105CL6;СОБИ-ЛИЗИНГ 001Р-01;100;27.10.2023;1000;RUB;730;16;9,99;9,99
RU000A105B86;ВЭБ.РФ ПБО-001Р-К405;4500;27.10.2023;1000;RUB;1000;8,82;87,96;87,96
RU000A104SJ9;МФК Быстроденьги 03;132,085;27.10.2023;1000;RUB;1000;18;14,79;14,79
RU000A103UR0;СберИОС 001Р-478R 5Г IMOEX;309,198;27.10.2023;1000;RUB;1000;0,01;0,1;0,1
RU000A103UQ2;СберИОС 001Р-477R 5Г SPX;220,479;27.10.2023;1000;RUB;1000;0,01;0,1;0,1
RU000A1032D7;Маныч-Агро 01;300;27.10.2023;1000;RUB;1000;12;29,92;29,92
RU000A1029V5;МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П20;800;27.10.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A101Z66;Балтийский лизинг ООО БО-П03;5000;27.10.2023;1000;RUB;375;7,15;8,91;8,91
RU000A101D54;ГТЛК-1520 П01-БО-02;35600;27.10.2023;1000;RUB;625;8,8;14,26;14,26
RU000A0ZZRY2;РЖД ОАО БО 001Р-09R;10000;27.10.2023;1000;RUB;1000;10,94;54,55;54,55
XS2401571521;Lukoil Capital DAC 26/10/31;1150;26.10.2023;1000;USD;1000;3,6;18;1676,71
XS2401571448;Lukoil Capital DAC 26/04/27;1150;26.10.2023;1000;USD;1000;2,8;14;1304,11
XS2333280571;Alfa Bond Issuance 26/10/31;350;26.10.2023;1000;USD;1000;5,5;27,5;2561,64
RU000A106Y88;МФК ВЭББАНКИР 04;350;26.10.2023;1000;RUB;1000;20;16,44;16,44
RU000A106Y21;Нафтатранс плюс ООО БО-05;250;26.10.2023;1000;RUB;1000;19;15,62;15,62
RU000A106M41;Банк ВТБ (ПАО) Б-1-329;5000;26.10.2023;1000;RUB;1000;9,5;23,68;23,68
RU000A106672;Газпром капитал ООО БО-001Р-05;30000;26.10.2023;1000;RUB;1000;9,8;24,43;24,43
RU000A106656;Южуралзолото 001P-03;10000;26.10.2023;1000;RUB;1000;10,05;50,11;50,11
RU000A106631;АПРИ ФП БО-002Р-02;1000;26.10.2023;1000;RUB;1000;18;44,88;44,88
RU000A106607;Минфин Ульяновской обл. 34005;3000;26.10.2023;1000;RUB;1000;10,6;26,43;26,43
RU000A1065Y3;Агротек БО-02;115;26.10.2023;1000;RUB;1000;15;37,4;37,4
RU000A1064L3;ЕАБР 003P-007;15000;26.10.2023;1000;RUB;1000;;56,09;56,09
RU000A105CF8;Нафтатранс плюс ООО БО-04;100;26.10.2023;1000;RUB;1000;19;15,62;15,62
RU000A105C44;МКПАО ОК РУСАЛ БО-001Р-01;6000;26.10.2023;1000;CNY;1000;3,75;18,7;237,65
RU000A105C28;ГруппаЧеркизово БО-001Р-05;10000;26.10.2023;1000;RUB;1000;9,95;24,81;24,81
RU000A105BW5;АО СПМК БО-01;200;26.10.2023;1000;RUB;1000;18;44,88;44,88
RU000A105A87;Совкомфлот ЗО-2028;317,813;26.10.2023;1000;USD;1000;3,85;19,25;1793,15
RU000A1059R0;ПАО "ЛУКОЙЛ" ЗО-31;253,992;26.10.2023;1000;USD;1000;3,6;18;1676,71
RU000A1059P4;ПАО "ЛУКОЙЛ" ЗО-27;257,441;26.10.2023;1000;USD;1000;2,8;14;1304,11
RU000A1059D0;СберИОС 001Р-540R 3Г ЛУКОЙЛ;104,105;26.10.2023;1000;RUB;1000;0,01;0,1;0,1
RU000A104ZV9;РГ Лизинг 1P3;1000;26.10.2023;1000;RUB;1000;16;36,74;36,74
RU000A104ZU1;АО им. Т.Г. Шевченко 001P-04;250;26.10.2023;1000;RUB;1000;17;42,38;42,38
RU000A104YR0;СФО МОС МСП 2 об. 3;4000;26.10.2023;1000;RUB;1000;9,55;7,85;7,85
RU000A104FX7;ООО "А Девелопмент" 01;300,145;26.10.2023;1000;RUB;1000;13,85;34,53;34,53
RU000A103V84;СберИОС 001Р-475R 3Г SPX;81,965;26.10.2023;1000;RUB;1000;0,01;0,1;0,1
RU000A103G83;ТД Синтеком БО-01;100;26.10.2023;1000;RUB;1000;13;32,41;32,41
RU000A103CW8;МФК Займер - 02;500;26.10.2023;1000;RUB;666,8;12,75;7,86;7,86
RU000A102GC3;БЭЛТИ-ГРАНД ООО БО-П03;200;26.10.2023;1000;RUB;640;12;6,31;6,31
RU000A102AB8;Завод КЭС 001P-02;200;26.10.2023;1000;RUB;500;14;27,92;27,92
RU000A101Z17;Свердловская область 35008;12000;26.10.2023;1000;RUB;1000;6,1;15,21;15,21
RU000A101MG4;Российские сети ПАО БО-001Р-02;10000;26.10.2023;1000;RUB;1000;6,5;16,21;16,21
RU000A101CL5;ФСК Россети ПАО БО 001P-04R;10000;26.10.2023;1000;RUB;1000;6,75;16,83;16,83
RU000A100ZL8;Группа ЛСР ПАО БО 001Р-05;6000;26.10.2023;1000;RUB;400;8,4;16,75;16,75
